cond,seed,fired,ratio,slope,sh_front,sh_back,sh_collapse,sh_peak,dist_front,dist_back,dist_collapse
条件1(純粋ランダム),0,0,0.75,-1.5333333333333319,86.47469066666666,67.99219699999999,1500,151.67143,7.398635333333333,9.7857,
条件1(純粋ランダム),1,1,1.504950495049505,2.1636363636363645,70.395335,77.63456766666665,,93.54397,9.299550666666667,9.279499,
条件1(純粋ランダム),2,1,1.3445378151260505,1.436363636363636,83.865819,73.03023466666667,,106.218588,10.489060333333333,9.572267666666667,
条件1(純粋ランダム),3,0,0.8709677419354839,-0.024242424242424,107.42623066666665,78.49382200000001,3000,153.63695800000002,7.812953333333334,9.018993333333333,
条件1(純粋ランダム),4,1,1.6545454545454545,1.4060606060606062,50.67638133333333,64.54492666666668,,73.48466,9.349033333333333,9.977283,
条件1(純粋ランダム),5,1,1.2234042553191489,1.181818181818182,63.050976666666664,70.959132,,92.51389200000001,9.798589,9.670694000000001,
条件1(純粋ランダム),6,1,1.3617021276595744,0.8060606060606063,36.15620166666666,61.155260999999996,,78.554084,10.005942666666668,10.116221999999999,
条件2(ランダム+報酬),0,0,1.2462311557788945,-0.2909090909090888,179.07209166666664,111.39189166666668,8500,182.88724000000002,7.690200333333334,8.241727333333333,
条件2(ランダム+報酬),1,1,2.037037037037037,2.9939393939393937,128.51350466666668,76.52073933333332,5500,150.052594,6.857992333333335,9.367452333333333,
条件2(ランダム+報酬),2,0,0.5239616613418531,-7.593939393939389,69.263394,72.765953,,86.258136,9.135238333333332,9.416456333333333,
条件2(ランダム+報酬),3,1,1.1322314049586777,0.7393939393939402,90.63203833333333,70.63372466666667,,110.521856,8.484832666666666,9.311999333333333,
条件2(ランダム+報酬),4,1,1.6231884057971016,1.6060606060606064,49.921780999999996,70.09964466666666,,83.54311600000001,11.155552,9.927216333333332,
条件2(ランダム+報酬),5,1,2.977777777777778,3.424242424242424,67.53412999999999,74.239655,,85.99929599999999,9.915292666666668,9.647566333333334,
条件2(ランダム+報酬),6,0,0.8024691358024691,-2.484848484848482,97.557075,76.16744466666665,3000,139.566386,7.184595,9.085829,
条件3(進度あり),0,0,0.835820895522388,-0.6666666666666657,74.294239,73.99837233333332,,104.131082,8.665413666666666,9.304758333333332,
条件3(進度あり),1,1,1.3950617283950617,1.7090909090909097,50.21219166666667,70.25269533333334,,81.202484,9.224114333333334,9.345507666666666,
条件3(進度あり),2,1,1.5925925925925926,1.8909090909090909,104.442491,85.55976466666668,7000,174.66028999999997,8.744408,8.837936,
条件3(進度あり),3,1,1.2596153846153846,0.6484848484848489,89.93234233333334,70.705164,9000,120.660968,10.645869000000001,9.619729333333334,
条件3(進度あり),4,0,0.7379310344827587,-0.7878787878787865,73.835349,68.73031399999999,,102.575038,10.874972,9.572752999999999,
条件3(進度あり),5,0,0.8602941176470589,-0.09090909090909056,61.516118333333324,68.747394,,78.247664,8.373953333333333,9.618423333333332,
条件3(進度あり),6,1,1.4623655913978495,1.9333333333333345,53.342848999999994,75.31900766666666,,98.129376,8.560436333333334,9.721978,
条件4(進度+報酬),0,1,1.6867469879518073,2.2606060606060607,65.12284066666666,71.21022133333334,500,130.11916,11.632020666666666,9.420146666666666,
条件4(進度+報酬),1,1,1.2038216560509554,2.6181818181818186,74.57852133333333,74.69396633333334,,112.76916800000001,9.138610666666667,9.320164,
条件4(進度+報酬),2,1,2.076923076923077,2.2060606060606056,60.17736133333332,64.14564966666667,,76.399088,10.66831,9.978984333333333,
条件4(進度+報酬),3,0,0.751269035532995,-1.9696969696969695,88.13944766666668,72.97753666666667,1500,127.03459400000001,8.845478333333334,9.472804666666665,
条件4(進度+報酬),4,0,0.4,-6.909090909090907,149.64139866666667,66.18511133333334,3500,170.33328,9.443273999999999,9.805007,
条件4(進度+報酬),5,1,1.161764705882353,1.5151515151515171,58.24087466666667,72.62638566666666,,87.054014,9.893469333333334,9.448891666666666,
条件4(進度+報酬),6,1,1.1517241379310346,0.25454545454545313,68.37080266666666,74.620802,,92.69027,8.594918666666667,9.228144,
